iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3/companies?filters=veniam elit in&linkedContactsIds=13396752&linkedDealsIds=veniam elit in&page=13396752&limit=13396752&sort=desc&sortBy=veniam elit in","Unauthorized","401","623","50",,"Status code is 400, Body matches string",,"2","0","2","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","Unauthorized","401","199","50",,"Body matches string, Status code name has string",,"2","0","2","0"
"1","Sendinblue","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","Unauthorized","401","234","50","Connection is present","Status code is 400, Your test name",,"3","1","2","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/61a5ce58c5d4795761045991","Unauthorized","401","200","50","Date is present, Response time is within acceptable range","Status code name",,"3","2","1","0"
"1","Sendinblue","Get a company","GET","https://api.sendinblue.com/v3/companies/629475917295261d9b1f4403","Unauthorized","401","226","50","Response content type is application/json","Response status code is 400",,"2","1","1","0"
"1","Sendinblue","Update a company","PATCH","https://api.sendinblue.com/v3/companies/629475917295261d9b1f4403","Unauthorized","401","199","50","Response has Server , Message field is present in the response","Response status code is 400",,"3","2","1","0"
"1","Sendinblue","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/629475917295261d9b1f4403","Unauthorized","401","201","50","Validate content type is application/json, Validate message is not empty","Validate status code is 400",,"3","2","1","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","Unauthorized","401","207","72","Status code is 401, Check response data",,,"2","2","0","0"
"1","Sendinblue","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals?filter[attributes]=veniam elit in&filter[linkedCompaniesIds]=veniam elit in&filter[linkedContactsIds]=veniam elit in&offset=13396752&limit=13396752&sort=desc","Unauthorized","401","257","50",,"Response status code is 400, Body matches string, Body matches expected, response body content",,"4","0","4","0"
"1","Sendinblue","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","Unauthorized","401","212","50","Date is present","Status code name has string",,"2","1","1","0"
"1","Sendinblue","Link and Unlink a deal with contacts and companies","PATCH","https://api.sendinblue.com/v3/crm/deals/link-unlink/629475917295261d9b1f4403","Unauthorized","401","227","50","Response has the required Content-Type header, Message field in the response is not empty, Ensure that the response body is in valid JSON format","Response status code is 400",,"4","3","1","0"
"1","Sendinblue","Get deal attributes","GET","https://api.sendinblue.com/v3/crm/attributes/deals","Unauthorized","401","246","50",,"Response status code is 500, Response has the required fields - type, title, status, and detail",,"2","0","2","0"
"1","Sendinblue","Get a deal","GET","https://api.sendinblue.com/v3/crm/deals/629475917295261d9b1f4403","Unauthorized","401","262","50","Message is a non-empty string, Ensure that the response body is in valid JSON format",,,"2","2","0","0"
"1","Sendinblue","Delete a deal","DELETE","https://api.sendinblue.com/v3/crm/deals/629475917295261d9b1f4403","Unauthorized","401","252","50","Content-Type is application/json, Message field is present in the response, Response message provides a clear and informative error message",,,"3","3","0","0"
"1","Sendinblue","Update a deal","PATCH","https://api.sendinblue.com/v3/crm/deals/629475917295261d9b1f4403","Unauthorized","401","211","72","Status code is 401, Check response data",,,"2","2","0","0"
"1","Sendinblue","Get all tasks","GET","https://api.sendinblue.com/v3/crm/tasks","Unauthorized","401","236","50",,,,"0","0","0","0"
"1","Sendinblue","Create a task","POST","https://api.sendinblue.com/v3/crm/tasks","Unauthorized","401","200","50","Content-Type is application/json","Response body has the fields - message and data, Data object contains field and message properties",,"3","1","2","0"
"1","Sendinblue","Get all task types","GET","https://api.sendinblue.com/v3/crm/tasktypes","Unauthorized","401","212","50",,"Response body has the fields - id and title, Response is an array with at least one element",,"2","0","2","0"
"1","Sendinblue","Get a task","GET","https://api.sendinblue.com/v3/crm/tasks/65e615c73a23ce75ed9f3715","Unauthorized","401","231","50","Message is a non-empty string","Response status code is 404",,"2","1","1","0"
"1","Sendinblue","Update a task","PATCH","https://api.sendinblue.com/v3/crm/tasks/65e615c73a23ce75ed9f3715","Unauthorized","401","521","50","Response has the message field, Message is a non-empty string, Content-Type header is application/json, Ensure response does not contain sensitive information",,,"4","4","0","0"
"1","Sendinblue","Delete a task","DELETE","https://api.sendinblue.com/v3/crm/tasks/65e615c73a23ce75ed9f3715","Unauthorized","401","177","50","Response message provides a clear and informative error message, Response body is an object","Response status code is 404",,"3","2","1","0"
"1","Sendinblue","Get all notes","GET","https://api.sendinblue.com/v3/crm/notes?entity=deals&entityIds=65e615c73a23ce75ed9f3715&dateFrom=-41398727&dateTo=-41398727&offset=13396752&limit=50&sort=desc","Unauthorized","401","285","50","Response Content-Type is application/json","Response body is an array",,"2","1","1","0"
"1","Sendinblue","Create a note","POST","https://api.sendinblue.com/v3/crm/notes","Unauthorized","401","263","50",,"Response status code is 400, Body matches string",,"2","0","2","0"
"1","Sendinblue","Get a note","GET","https://api.sendinblue.com/v3/crm/notes/61a5cd07ca1347c82306ad09","Unauthorized","401","260","50","Ensure response does not contain sensitive information, Message field in the response is not empty","Response status code is 404",,"3","2","1","0"
"1","Sendinblue","Update a note","PATCH","https://api.sendinblue.com/v3/crm/notes/61a5cd07ca1347c82306ad09","Unauthorized","401","391","50","Message field is present in the response","Body matches expected",,"2","1","1","0"
"1","Sendinblue","Delete a note","DELETE","https://api.sendinblue.com/v3/crm/notes/61a5cd07ca1347c82306ad09","Unauthorized","401","378","50","Response has the message field, Verify that the response message is descriptive and user-friendly",,,"2","2","0","0"
"1","Sendinblue","Get all files","GET","https://api.sendinblue.com/v3/crm/files?entity=deals&entityIds=61a5cd07ca1347c82306ad09&dateFrom=-41398727&dateTo=-41398727&offset=13396752&limit=50&sort=desc","Unauthorized","401","218","50","Server is present","Response body is an array",,"2","1","1","0"
"1","Sendinblue","Upload a file","POST","https://api.sendinblue.com/v3/crm/files","Unauthorized","401","243","50","Set fileId Value","Response has the required fields, AuthorId is a non-empty string, ContactId is a non-negative integer",,"4","1","3","0"
"1","Sendinblue","Download a file","GET","https://api.sendinblue.com/v3/crm/files/null","Unauthorized","401","205","50",,"Response content type is application/octet-stream, Body is correct",,"2","0","2","0"
"1","Sendinblue","Get file details","GET","https://api.sendinblue.com/v3/crm/files/61a5ce58c5d4795761045991/data","Unauthorized","401","247","50","Response Content-Type is application/json","Response status code is 404",,"2","1","1","0"
"1","Sendinblue","Delete a file","DELETE","https://api.sendinblue.com/v3/crm/files/65e8c6e9d3000ba7425850d","Unauthorized","401","286","64","Response status code is 401, Response has the fields - message and code, Message is a non-empty string, Code is a non-empty string",,,"4","4","0","0"
